,title,production_budget,worldwide_gross,profit,profit_ratio,success,release_month,genres,averagerating
1995,#Horror,1500000,0,-1500000,-1.0,False,11,"['Crime', 'Drama', 'Horror']",3.0
1672,10 Cloverfield Lane,5000000,108286422,103286422,20.6572844,True,3,"['Drama', 'Horror', 'Mystery']",7.2
1389,10 Days in a Madhouse,12000000,14616,-11985384,-0.998782,False,11,['Drama'],6.7
737,12 Strong,35000000,71118378,36118378,1.0319536571428571,False,1,"['Action', 'Drama', 'History']",6.6
1076,12 Years a Slave,20000000,181025343,161025343,8.05126715,True,10,"['Biography', 'Drama', 'History']",8.1
1182,127 Hours,18000000,60217171,42217171,2.345398388888889,True,11,"['Adventure', 'Biography', 'Drama']",7.6
1781,13 Sins,4000000,47552,-3952448,-0.988112,False,4,"['Horror', 'Thriller']",6.3
2067,1982,1000000,0,-1000000,-1.0,False,12,['Drama'],7.0
454,2 Guns,61000000,132493015,71493015,1.1720166393442624,False,8,"['Action', 'Comedy', 'Crime']",6.7
616,21 Jump Street,42000000,202812429,160812429,3.8288673571428573,True,3,"['Action', 'Comedy', 'Crime']",7.2
528,22 Jump Street,50000000,331333876,281333876,5.62667752,True,6,"['Action', 'Comedy', 'Crime']",7.0
2044,23 Blast,1000000,549185,-450815,-0.450815,False,10,"['Drama', 'Family', 'Sport']",6.5
1586,3,7200000,295492,-6904508,-0.9589594444444445,False,8,"['Comedy', 'Drama']",6.1
2138,3 Backyards,300000,39475,-260525,-0.8684166666666666,False,1,['Drama'],5.0
906,3 Days to Kill,28000000,38959900,10959900,0.391425,False,2,"['Action', 'Drama', 'Thriller']",6.2
905,30 Minutes or Less,28000000,40966716,12966716,0.463097,False,8,"['Action', 'Comedy', 'Crime']",6.1
256,300: Rise of an Empire,110000000,330780051,220780051,2.0070913727272726,True,3,"['Action', 'Fantasy', 'War']",6.2
1987,31,1500000,922727,-577273,-0.38484866666666667,False,10,"['Horror', 'Thriller']",5.1
803,42,31000000,97470701,66470701,2.1442161612903226,True,4,"['Biography', 'Drama', 'Sport']",7.5
95,47 Ronin,175000000,151716815,-23283185,-0.13304677142857144,False,12,"['Action', 'Adventure', 'Drama']",6.3
1388,5 Days of War,12000000,87793,-11912207,-0.9926839166666667,False,8,"['Action', 'Drama', 'War']",5.6
1494,50 to 1,10000000,1069454,-8930546,-0.8930546,False,3,['Drama'],6.6
1550,50/50,8000000,41334735,33334735,4.166841875,True,9,['Documentary'],7.5
1887,8 Days,2500000,0,-2500000,-1.0,False,6,"['Drama', 'Thriller']",5.0
1880,8: The Mormon Proposition,2500000,100280,-2399720,-0.959888,False,1,['Documentary'],7.0
1706,90 Minutes in Heaven,5000000,4816142,-183858,-0.0367716,False,9,['Drama'],4.8
895,A Bad Moms Christmas,28000000,127710550,99710550,3.5610910714285713,True,11,"['Adventure', 'Comedy']",5.5
1488,A Better Life,10000000,1884251,-8115749,-0.8115749,False,5,['Drama'],6.6
1134,A Dangerous Method,20000000,14807531,-5192469,-0.25962345,False,11,"['Biography', 'Drama', 'Romance']",6.4
1289,A Few Best Men,15000000,17224539,2224539,0.1483026,False,10,"['Comedy', 'Romance']",5.7
2187,A Ghost Story,100000,2769782,2669782,26.69782,True,7,"['Drama', 'Fantasy', 'Romance']",6.8
314,A Good Day to Die Hard,92000000,304249198,212249198,2.3070565,True,2,"['Action', 'Thriller']",5.3
1873,A Haunted House,2500000,59922558,57422558,22.9690232,True,1,"['Comedy', 'Fantasy']",5.1
1764,A Haunted House 2,4000000,21206861,17206861,4.30171525,True,4,"['Comedy', 'Fantasy']",4.7
772,A Hologram for the King,35000000,11846010,-23153990,-0.6615425714285714,False,4,"['Comedy', 'Drama', 'Romance']",6.1
1347,A Little Bit of Heaven,12500000,1100287,-11399713,-0.91197704,False,2,"['Comedy', 'Drama', 'Fantasy']",6.3
1784,A Lonely Place to Die,4000000,442550,-3557450,-0.8893625,False,4,"['Adventure', 'Crime', 'Thriller']",6.3
613,A Monster Calls,43000000,46414530,3414530,0.07940767441860465,False,12,"['Animation', 'Drama', 'Fantasy']",7.5
1132,A Most Violent Year,20000000,8846875,-11153125,-0.55765625,False,12,"['Crime', 'Drama', 'Thriller']",7.0
1265,A Most Wanted Man,15000000,36068890,21068890,1.4045926666666666,False,7,"['Crime', 'Drama', 'Thriller']",6.8
728,A Nightmare on Elm Street,35000000,117729621,82729621,2.363703457142857,True,4,"['Crime', 'Drama', 'Horror']",5.2
1208,A Quiet Place,17000000,334522294,317522294,18.677782,True,4,['Documentary'],6.6
1079,A Simple Favor,20000000,97628717,77628717,3.88143585,True,9,"['Comedy', 'Crime', 'Drama']",6.9
1575,A Street Cat Named Bob,8000000,17382693,9382693,1.172836625,False,11,"['Biography', 'Comedy', 'Drama']",7.4
679,A Thousand Words,40000000,20790486,-19209514,-0.48023785,False,3,"['Comedy', 'Drama']",5.9
2211,A True Story,45000,0,-45000,-1.0,False,9,['Comedy'],5.2
908,A Walk Among the Tombstones,28000000,62108587,34108587,1.2181638214285715,False,9,"['Action', 'Crime', 'Drama']",6.5
